Acc x axis,Acc y axis,Acc z axis,Gyr x axis,Gyr y axis,Gyr z axis,Label
-8.751151085,-4.044169426,2.190030813,0.247851282,0.673764527,0.314739048,1
-8.2701931,-4.848157883,1.610967875,-0.052685577,0.70797199,-0.850757539,1
-10.92383385,-0.964606643,3.300300598,-0.051463883,0.174091473,-0.46836713,1
-7.262814999,-1.81645143,-1.332203984,0.424996972,0.180199936,-0.23991026,1
-6.645466805,-1.426421404,0.299701035,-0.049020492,0.137440637,-0.456150204,1
-10.64387321,-2.015055656,0.184845552,-0.277477354,0.232732803,-0.396287173,1
-9.698708534,-1.739881158,2.350350142,0.151337415,0.273048729,0.032527618,1
-9.050253868,-2.249552488,-0.52342993,0.184323162,0.108119965,-0.103080474,1
-10.0265255,-2.031805515,0.972084224,0.008399149,0.128888771,-0.232580096,1
-8.538188934,-2.271087885,0.850050271,0.134233683,0.017714571,-0.226471618,1
-8.442476273,-1.335494161,1.278365493,0.136677071,0.07513421,-0.282669574,1
-8.045268059,-1.345065475,0.156131685,0.003512372,0.093459629,-0.360858023,1
-8.653044701,-1.689631939,1.132403374,-0.117435388,0.209520608,-0.442711562,1
-10.05284595,-1.234995604,1.354935765,-0.019699825,0.138662323,-0.338867515,1
-10.41176987,-0.318544507,1.055832982,0.042606596,-0.17531316,0.199899763,1
-11.34257793,-1.684846282,1.192223907,0.214865521,0.109341659,0.590842009,1
-10.44526863,-2.127518415,1.412363529,0.115908265,0.15943113,0.568851531,1
-10.9501543,-1.060319543,3.099303484,0.302827537,0.346350402,-0.580763042,1
-12.42652607,0.198305175,2.541775942,0.795170426,0.070247434,-0.199594349,1
-11.64646626,-1.146461129,0.543768942,0.751189411,-0.347572088,0.460120708,1
-9.921240807,-1.194317579,-0.997208834,0.203870267,-0.706750274,0.604280651,1
-7.96391201,-2.529512644,1.838286042,-0.182185188,-0.842358351,0.39903596,1
-9.260822296,-3.467499018,3.130410194,-0.064902522,-1.489856482,0.551747799,1
-11.52443218,-3.036791086,2.86480689,-0.327566832,-0.81059432,0.886492074,1
-11.25643635,-0.833001375,3.675973892,0.488525093,-0.137440637,0.53708744,1
-10.67019463,-0.663110971,0.969691396,0.830599546,-0.451416135,0.64337486,1
-9.124430656,-0.603290439,1.319043517,-0.133317411,-0.497840524,1.053864241,1
-6.724429607,-1.730309844,1.936391711,-1.049588323,-0.525939465,0.969567299,1
-6.083153248,-1.830808401,2.163709879,-0.750273168,-0.50272727,0.735001981,1
-6.22193718,-1.785344839,0.646660328,-0.606113195,-0.32558158,0.214560106,1
-6.47796917,-1.366600871,2.907877684,-0.907871723,0.105676576,-0.140953004,1
-7.176673412,-0.560219586,5.099703312,-0.457066476,0.374449372,-0.578319669,1
-8.717651367,-0.170189515,3.812364578,0.205091968,0.827698052,-0.963153422,1
-12.12981606,0.552442908,3.620938778,0.175771296,0.804485857,-0.806776524,1
-13.08216,0.746261537,3.649652719,-0.118657082,0.606571317,-0.300994992,1
-14.9342041,0.112163559,6.030511379,-0.06734591,1.024390817,-0.096972004,1
-12.74477196,-3.225824118,1.366899967,0.096361153,0.215629086,0.4381302,1
-9.349356651,-4.702195644,0.022133609,-0.201732308,0.574807286,-0.040774055,1
-9.947562218,-1.943271041,4.080360889,-0.755159914,0.138662323,-0.430494606,1
-8.413763046,-2.496013165,-0.207577363,0.899014473,-0.154544353,0.107050985,1
-7.11685276,-2.163410664,-2.349153519,0.196540102,-0.102011494,0.301300406,1
-8.145766258,-2.151446581,2.48195529,-0.279920757,0.556481838,-0.558772504,1
-10.55055332,0.138484612,1.864607096,0.640015244,0.170426384,-0.073759809,1
-9.29432106,-1.256531,-0.705284476,0.476308137,0.0787993,0.071621843,1
-9.289535522,-1.002891779,1.072582722,0.07070557,0.05314371,-0.07009472,1
-8.459226608,-1.491027594,1.017547846,0.02183779,-0.016492875,-0.148283169,1
-8.385048866,-0.629611433,1.118046403,-0.058794048,0.029931515,-0.302216679,1
-8.468797684,-0.533898532,0.938584685,-0.138204187,0.067804046,-0.470810533,1
-9.794421196,-0.124725878,2.19242382,-0.128430635,0.116671823,-0.501352906,1
-9.803992271,-0.416650236,1.199402332,0.023059484,-0.124001995,-0.215476364,1
-10.17248726,-0.780359268,1.350150228,0.084144212,-0.202190444,-0.018783553,1
-10.09113121,-1.187139153,1.496112347,0.267398387,-0.248614833,-0.127514362,1
-12.17049408,0.514157772,2.283350945,0.593590796,-0.036039989,-0.215476364,1
